,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
101,One Franklin Town,1 Franklin Town Blvd,Philadelphia,PA,19103,"$1,115","$1,387 – 2,325","$2,140 – 2,182","$3,229",39.95991,-75.16721,https://www.apartments.com/one-franklin-town-philadelphia-pa/pn45x3s/
102,The Ridge Apartments,7949 Ridge Ave,Philadelphia,PA,19128,NA,"$920 – 1,240","$1,295 – 1,420",NA,40.05535,-75.23493,https://www.apartments.com/the-ridge-apartments-philadelphia-pa/2bx4gb9/
103,Bromley House,6901-6907 Old York Rd,Philadelphia,PA,19126,Call for Rent,"$1,107 – 1,212","$1,338 – 1,438",NA,40.05786,-75.13841,https://www.apartments.com/bromley-house-philadelphia-pa/2kczhhc/
104,1500 Locust,1500-1514 Locust St,Philadelphia,PA,19102,"$1,566 – 2,571","$1,692 – 3,404","$2,970 – 5,597","$6,006 – 8,092",39.94833,-75.16669,https://www.apartments.com/1500-locust-philadelphia-pa/y9hc9sv/
105,Sherwood Crossing Apartments & Townhomes,3400 Red Lion Rd,Philadelphia,PA,19114,Call for Rent,"$985 – 1,850","$1,370 – 2,425",Call for Rent,40.07514,-74.98803,https://www.apartments.com/sherwood-crossing-apartments-townhomes-philadelphia-pa/mhjergl/
106,The Sansom,1605 Sansom St,Philadelphia,PA,19103,"$1,467 – 1,698","$1,667 – 2,372","$2,872 – 3,017",NA,39.95077,-75.16825,https://www.apartments.com/the-sansom-philadelphia-pa/kd91bx8/
107,Sedgwick Station,303 E Mt Pleasant Ave,Philadelphia,PA,19119,NA,NA,NA,NA,40.06359,-75.18448,https://www.apartments.com/sedgwick-station-philadelphia-pa/xvqmnqm/
108,Summit Park Apartments,8201 Henry Ave,Philadelphia,PA,19128,NA,"$1,249","$1,230 – 1,550","$1,957",40.06004,-75.23492,https://www.apartments.com/summit-park-apartments-philadelphia-pa/9zkk8v4/
109,Rock Hill Apartments,205-215 Rock St,Philadelphia,PA,19128,$945 – 970,"$1,175 – 1,185","$1,380",NA,40.02196,-75.20639,https://www.apartments.com/rock-hill-apartments-philadelphia-pa/nzcsd7q/
110,The Flats at 31 Brewerytown,3100 W Thompson St,Philadelphia,PA,19121,NA,"$1,306 – 1,642","$1,910 – 2,305",NA,39.97663,-75.18679,https://www.apartments.com/the-flats-at-31-brewerytown-philadelphia-pa/mhxt3vl/
111,AQ Rittenhouse,2021 Chestnut St,Philadelphia,PA,19103,"$1,679 – 1,839","$1,729 – 1,789","$2,282 – 2,909",NA,39.95242,-75.17426,https://www.apartments.com/aq-rittenhouse-philadelphia-pa/16wpkk4/
112,The Drake,1512 Spruce St,Philadelphia,PA,19102,"$1,052 – 1,596","$1,113 – 4,096","$2,005 – 7,600","$3,118 – 6,546",39.94695,-75.16721,https://www.apartments.com/the-drake-philadelphia-pa/k2h3vzb/
113,Vista,2805 N 47th St,Philadelphia,PA,19131,NA,"$1,185 – 1,620","$1,595 – 2,470",Call for Rent,40.00175,-75.22306,https://www.apartments.com/vista-philadelphia-pa/kybykf8/
114,Brookmont Apartment Homes,600 Red Lion Rd,Philadelphia,PA,19115,NA,"$1,055 – 1,835","$1,280 – 2,195",NA,40.10662,-75.03676,https://www.apartments.com/brookmont-apartment-homes-philadelphia-pa/yszbrkt/
115,Algon Flats,7810-7820 Algon,Philadelphia,PA,19111,"$1,029","$1,129 – 1,179","$1,330 – 1,355",NA,40.0629,-75.06678,https://www.apartments.com/algon-flats-philadelphia-pa/dtl1llj/
116,Wynnefield Terrace,4991 Parkside Ave N,Philadelphia,PA,19131,NA,NA,"$1,085 – 1,245",NA,39.9884,-75.22497,https://www.apartments.com/wynnefield-terrace-philadelphia-pa/58e24zq/
117,NorthXNorthwest,450 N 18th St,Philadelphia,PA,19130,"$1,245 – 3,194","$1,604 – 4,635","$1,996 – 6,879",NA,39.96264,-75.16819,https://www.apartments.com/northxnorthwest-philadelphia-pa/3q4dq5e/
118,The Lofts at 1835 Arch,1835 Arch St,Philadelphia,PA,19103,NA,"$1,660 – 3,537","$2,685 – 4,638",NA,39.9556,-75.17081,https://www.apartments.com/the-lofts-at-1835-arch-philadelphia-pa/2e1byf8/
119,The Arch,1701 Arch St,Philadelphia,PA,19103,NA,"$1,785 – 1,875","$2,355 – 2,550",NA,39.95529,-75.16814,https://www.apartments.com/the-arch-philadelphia-pa/vgc74ng/
120,Lofts at Logan View,1666-1666 Callowhill St,Philadelphia,PA,19130,Call for Rent,"$1,675 – 1,920","$2,100 – 2,225",NA,39.9599,-75.16651,https://www.apartments.com/lofts-at-logan-view-philadelphia-pa/60qcywt/
121,the metropolitan bala,2746 Belmont Ave,Philadelphia,PA,19131,"$1,110 – 1,130","$1,210 – 1,385","$1,540 – 1,720",NA,40.00084,-75.22059,https://www.apartments.com/the-metropolitan-bala-philadelphia-pa/h9lewm1/
122,Hill House,201 W Evergreen Ave,Philadelphia,PA,19118,"$1,317 – 2,214","$1,862 – 3,169",Call for Rent,Call for Rent,40.07415,-75.21028,https://www.apartments.com/hill-house-philadelphia-pa/930jrs4/
123,2116 Chestnut,2116 Chestnut St,Philadelphia,PA,19103,"$2,205 – 5,500","$2,554 – 7,212","$3,694 – 11,699",NA,39.95212,-75.17657,https://www.apartments.com/2116-chestnut-philadelphia-pa/w8xrmsk/
124,222 Rittenhouse,222 W Rittenhouse Sq,Philadelphia,PA,19103,"$1,595","$2,020 – 2,310",Call for Rent,Call for Rent,39.94917,-75.1732,https://www.apartments.com/222-rittenhouse-philadelphia-pa/tfkv6e8/
125,THE GRIFFIN CENTER CITY,1338-1348 Chestnut St,Philadelphia,PA,19107,"$1,525","$2,090 – 4,890","$3,580 – 4,800",NA,39.95062,-75.16358,https://www.apartments.com/the-griffin-center-city-philadelphia-pa/7d7rbbx/
126,The Republic,1930 Chestnut St,Philadelphia,PA,19103,"$1,865","$1,690 – 3,435",Call for Rent,NA,39.95181,-75.17336,https://www.apartments.com/the-republic-philadelphia-pa/vv2dfge/
127,AKA University City,2929 Walnut St,Philadelphia,PA,19104,"$2,750","$2,750 – 4,500","$3,550 – 6,200",NA,39.95211,-75.18362,https://www.apartments.com/aka-university-city-philadelphia-pa/5r4q7dn/
